,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0-23,0,0,0,0,0,0,3829,3620,3436,3497,3501
24-29,0,667,413,308,285,283,803,892,1084,914,912
30-35,0,550,354,287,324,266,301,241,91,206,199
36-47,0,846,531,429,399,364,400,334,125,292,304
48-59,0,824,509,420,386,396,396,357,132,146,150
60-71,0,737,484,399,403,359,365,339,89,173,180
72-83,0,597,398,354,290,337,323,283,85,84,89
84-95,0,520,356,323,294,260,306,251,95,79,78
96-107,0,373,279,286,226,226,237,216,64,55,56
108-119,0,283,214,181,230,192,188,171,53,64,57
120-131,0,203,155,150,154,162,147,107,49,37,35
132-143,0,126,104,98,118,134,146,138,44,32,39
144-155,0,79,68,64,81,101,110,75,43,31,38
156-167,0,78,56,49,50,53,58,50,16,23,20
168-179,0,4,3,2,2,3,3,2,1,1,2
180-191,0,1,1,1,1,1,1,1,0,0,0
192-203,0,1,1,0,0,0,1,0,0,0,0
204-,0,25,18,15,16,17,19,16,5,7,8
